document,cns,name,mother_name,phone,address_zipcode,address_street,address_number,address_neighborhood,address_complement,address_city,address_state
78135531363,587329593711601,"Kaleb Rohan",Savanah,+15744606766,98466-608,repellat,325,expedita,in,"North Dave",iure
15282854068,073061595653064,"Alec Lemke",Clarissa,+12395692151,37063-165,fugiat,027,est,consequatur,Wunschport,perferendis
41033544924,174319818442364,"Kelli Ratke",Marisa,1-872-400-0095,26438-142,exercitationem,355,omnis,sed,Maximoshire,dolorum
57836707172,743564014162795,"Prof. Blanca Bode",Kiarra,1-678-620-2104,10039-880,voluptate,559,omnis,sunt,"New Julianchester",dolorem
97600394879,176899456649914,"Alf Predovic",Hettie,1-931-461-9995,07210-590,tenetur,121,error,sed,"East Godfreystad",et
88308370682,360910652076269,"Dayna Mann DDS",Alvera,"(848) 552-9849",42229-945,mollitia,957,explicabo,nesciunt,"North Kathlyntown",cupiditate
50966676592,790997145886064,"Miss Shawna Spencer DVM",Clare,"(913) 450-8375",95856-851,inventore,746,vel,accusamus,Mattfort,animi
66848708531,075054801231537,"Dr. Dusty Kris IV",Chyna,+1-667-695-3728,75833-547,ea,209,necessitatibus,pariatur,"South Macy",dolor
13256864475,794283245638410,"Ulises Witting II",Reva,1-424-604-7783,05770-913,velit,696,sit,voluptas,Sallyburgh,mollitia
58877438815,290256015063259,"Miss Janis Blick",Dana,+1.862.629.0693,98333-234,accusamus,015,enim,non,"South Norvalton",quia
